F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
0.13795	0.38609	0.14933	0.13525	0.24623	0.058188	0.044095	0.016708	0.01507	0.019126
0.6021	0.50807	0.091818	0.20291	0.42139	0.062465	0.07603	0.02635	0.040523	0.062638
0.12451	0.74619	0.050371	0.651	0.25558	0.027455	0.025457	0.045877	0.010577	0.044694
0.17527	0.20687	0.21346	0.1861	0.20337	0.18168	0.016471	0.03806	0.065764	0.06521
0.30993	0.1689	0.40607	0.38874	0.25479	0.0087429	0.062103	0.028695	0.058152	0.15908
0.18752	0.4087	0.2685	0.16523	0.2484	0.053249	0.018961	0.051379	0.10817	0.034755
0.29988	0.15593	0.20419	0.12815	0.32554	0.040046	0.024361	0.050912	0.079208	0.031664
0.41093	0.48437	0.31209	0.35769	0.3017	0.054284	0.056134	0.054726	0.013439	0.034645
0.38159	0.1329	0.69747	0.34735	0.2207	0.044611	0.034589	0.040094	0.055891	0.022385
0.25627	0.29937	0.049876	0.25317	0.16307	0.060386	0.023505	0.10723	0.040983	0.026505
0.040943	0.067712	0.10049	0.13813	0.22299	0.32379	0.19873	0.17147	0.264	0.25792
0.15846	0.23047	0.15274	0.066111	0.23624	0.36745	0.35134	0.23647	0.31513	0.47851
0.37893	0.14054	0.12218	0.51879	0.058408	0.26909	0.34216	0.22774	0.2552	0.19324
0.15399	0.12576	0.59432	0.12505	0.10719	0.18765	0.45523	0.37705	0.14737	0.2994
0.18986	0.084122	0.20643	0.16232	0.47499	0.38252	0.35606	0.3676	0.47188	0.16781
0.048651	0.01683	0.14767	0.094056	0.65006	0.25268	0.34168	0.21373	0.36212	0.35587
0.19246	0.11797	0.24682	0.088213	0.30943	0.23114	0.29521	0.11626	0.32456	0.28018
0.18775	0.032831	0.077175	0.027381	0.026195	0.2025	0.418	0.28866	0.13969	0.32358
0.050785	0.21113	0.33364	0.21477	0.033853	0.08434	0.33253	0.25825	0.24297	0.29926
0.091966	0.63731	0.28288	0.099341	0.056732	0.34434	0.24715	0.27677	0.28991	0.1593
0.11436	0.15953	0.043314	0.05225	0.048986	0.27862	0.34873	0.31188	0.31658	0.23546
