T27	c1
T235	c2
T275	c2
T170	c2
T17	c3
T246	c3
T281	c4
T190	c4
T138	c4
T109	c5
T119	c5
T174	c5
T244	c5
T108	c5
T33	c5
T96	c6
T93	c6
T55	c6
T25	c6
T50	c6
c1	ch
c2	ch
c3	ch
c4	ch
c5	ch
c6	ch
T1	o1
T2	o1
T3	o1
T4	o1
T5	o1
T6	o1
T7	o1
T8	o1
T9	o1
T10	o1
T11	o2
T12	o2
T13	o2
T14	o2
T15	o2
T16	o2
T18	o2
T19	o2
T20	o2
T21	o3
T22	o3
T23	o3
T24	o3
T26	o3
T28	o3
T29	o3
T30	o3
T31	o4
T32	o4
T34	o4
T35	o4
T36	o4
T37	o4
T38	o4
T39	o4
T40	o4
T41	o5
T42	o5
T43	o5
T44	o5
T45	o5
T46	o5
T47	o5
T48	o5
T49	o5
T51	o6
T52	o6
T53	o6
T54	o6
T56	o6
T57	o6
T58	o6
T59	o6
T60	o6
T61	o7
T62	o7
T63	o7
T64	o7
T65	o7
T66	o7
T67	o7
T68	o7
T69	o7
T70	o7
T71	o8
T72	o8
T73	o8
T74	o8
T75	o8
T76	o8
T77	o8
T78	o8
T79	o8
T80	o8
T81	o9
T82	o9
T83	o9
T84	o9
T85	o9
T86	o9
T87	o9
T88	o9
T89	o9
T90	o9
T91	o10
T92	o10
T94	o10
T95	o10
T97	o10
T98	o10
T99	o10
T100	o10
T101	o11
T102	o11
T103	o11
T104	o11
T105	o11
T106	o11
T107	o11
T110	o11
T111	o12
T112	o12
T113	o12
T114	o12
T115	o12
T116	o12
T117	o12
T118	o12
T120	o12
T121	o13
T122	o13
T123	o13
T124	o13
T125	o13
T126	o13
T127	o13
T128	o13
T129	o13
T130	o13
T131	o14
T132	o14
T133	o14
T134	o14
T135	o14
T136	o14
T137	o14
T139	o14
T140	o14
T141	o15
T142	o15
T143	o15
T144	o15
T145	o15
T146	o15
T147	o15
T148	o15
T149	o15
T150	o15
T151	o16
T152	o16
T153	o16
T154	o16
T155	o16
T156	o16
T157	o16
T158	o16
T159	o16
T160	o16
T161	o17
T162	o17
T163	o17
T164	o17
T165	o17
T166	o17
T167	o17
T168	o17
T169	o17
T171	o18
T172	o18
T173	o18
T175	o18
T176	o18
T177	o18
T178	o18
T179	o18
T180	o18
T181	o19
T182	o19
T183	o19
T184	o19
T185	o19
T186	o19
T187	o19
T188	o19
T189	o19
T191	o20
T192	o20
T193	o20
T194	o20
T195	o20
T196	o20
T197	o20
T198	o20
T199	o20
T200	o20
T201	o21
T202	o21
T203	o21
T204	o21
T205	o21
T206	o21
T207	o21
T208	o21
T209	o21
T210	o21
T211	o22
T212	o22
T213	o22
T214	o22
T215	o22
T216	o22
T217	o22
T218	o22
T219	o22
T220	o22
T221	o23
T222	o23
T223	o23
T224	o23
T225	o23
T226	o23
T227	o23
T228	o23
T229	o23
T230	o23
T231	o24
T232	o24
T233	o24
T234	o24
T236	o24
T237	o24
T238	o24
T239	o24
T240	o24
T241	o25
T242	o25
T243	o25
T245	o25
T247	o25
T248	o25
T249	o25
T250	o25
T251	o26
T252	o26
T253	o26
T254	o26
T255	o26
T256	o26
T257	o26
T258	o26
T259	o26
T260	o26
T261	o27
T262	o27
T263	o27
T264	o27
T265	o27
T266	o27
T267	o27
T268	o27
T269	o27
T270	o27
T271	o28
T272	o28
T273	o28
T274	o28
T276	o28
T277	o28
T278	o28
T279	o28
T280	o28
T282	o29
T283	o29
T284	o29
T285	o29
T286	o29
T287	o29
T288	o29
T289	o29
T290	o29
T291	o30
T292	o30
T293	o30
T294	o30
T295	o30
T296	o30
T297	o30
T298	o30
T299	o30
T300	o30
o1	oh
o2	oh
o3	oh
o4	oh
o5	oh
o6	oh
o7	oh
o8	oh
o9	oh
o10	oh
o11	oh
o12	oh
o13	oh	
o14	oh
o15	oh
o16	oh
o17	oh
o18	oh
o19	oh
o20	oh
o21	oh
o22	oh
o23	oh
o24	oh
o25	oh
o26	oh
o27	oh
o28	oh
o29	oh
o30	oh
ch	root
oh	root
